ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
225,Shafiul Islam (BDESH),2010-2019,17,17, 56.40 ,1,459,16,Mar-36,28.68,8.1,21.2,0,0
226,JJ Smit (NAM),2019-2019,12,10, 37.10 ,0,234,16,19-Mar,14.62,6.29,13.9,0,0
227,PR Stirling (IRE),2009-2019,72,33, 78.00 ,1,600,16,21-Mar,37.5,7.69,29.2,0,0
228,Yasir Arafat (PAK),2007-2012,13,13, 39.20 ,0,316,16,18-Mar,19.75,8.03,14.7,0,0
229,RG Aga (KENYA),2008-2013,20,19, 48.00 ,1,306,15,24-Mar,20.4,6.37,19.2,0,0
230,MM Ali (ENG),2014-2018,25,22, 60.20 ,0,519,15,21-Feb,34.6,8.6,24.1,0,0
231,PKD Chase (IRE),2018-2019,12,12, 41.50 ,0,416,15,Apr-35,27.73,9.94,16.7,1,0
232,N Pradeep (SL),2016-2019,14,14, 44.10 ,0,407,15,25-Apr,27.13,9.21,17.6,1,0
233,Janak Prakash (SGP),2019-2019,12,12, 41.40 ,1,309,15,15-Mar,20.6,7.41,16.6,0,0
234,SM Pollock (SA),2005-2008,12,11, 40.30 ,1,309,15,28-Mar,20.6,7.62,16.2,0,0
235,MJG Rippon (NL),2013-2018,18,17, 50.40 ,2,310,15,8-Mar,20.66,6.11,20.2,0,0
236,Simi Singh (IRE),2018-2019,18,18, 43.20 ,0,344,15,15-Mar,22.93,7.93,17.3,0,0
237,RP Singh (INDIA),2007-2009,10,9, 33.00 ,0,225,15,13-Apr,15,6.81,13.2,1,0
238,Sultan Ahmed (UAE),2017-2019,17,17, 55.00 ,3,365,15,Mar-33,24.33,6.63,22,0,0
239,Washington Sundar (INDIA),2017-2019,18,18, 63.00 ,1,417,15,22-Mar,27.8,6.61,25.2,0,0
240,Ahmed Wardak (GER),2019-2019,9,8, 27.50 ,0,170,14,20-Apr,12.14,6.1,11.9,1,0
241,CJ Anderson (NZ),2012-2018,31,21, 60.00 ,0,495,14,17-Feb,35.35,8.25,25.7,0,0
242,CJ Chibhabha (ZIM),2006-2018,33,22, 53.50 ,0,455,14,18-Mar,32.5,8.45,23,0,0
243,Ehsan Khan (HKG),2016-2019,15,15, 54.40 ,0,325,14,Mar-32,23.21,5.94,23.4,0,0
244,GD Elliott (NZ/World),2009-2017,17,15, 32.00 ,0,235,14,22-Apr,16.78,7.34,13.7,1,0
245,LH Ferguson (NZ),2017-2019,8,8, 31.00 ,0,222,14,21-Mar,15.85,7.16,13.2,0,0
246,AW Hawkins-Kay (JER),2019-2019,16,15, 36.00 ,0,266,14,14-Apr,19,7.38,15.4,1,0
247,Karim Sadiq (AFG),2010-2018,36,28, 70.00 ,0,482,14,17-Mar,34.42,6.88,30,0,0
248,Mirwais Ashraf (AFG),2010-2016,25,22, 65.20 ,1,444,14,6-Feb,31.71,6.79,28,0,0
249,E Otieno (KENYA),2012-2019,18,18, 50.50 ,1,370,14,16-Mar,26.42,7.27,21.7,0,0
250,KH Pandya (INDIA),2018-2019,18,18, 66.20 ,1,538,14,Apr-36,38.42,8.11,28.4,1,0
251,Sami Sohail (MWI),2019-2019,7,7, 26.00 ,3,164,14,18-Apr,11.71,6.3,11.1,1,0
252,Shaheen Shah Afridi (PAK),2018-2019,10,10, 38.00 ,0,288,14,20-Mar,20.57,7.57,16.2,0,0
253,CA Soper (PNG),2015-2019,13,12, 33.00 ,0,153,14,13-Mar,10.92,4.63,14.1,0,0
254,MR Swart (NL),2012-2016,26,20, 53.00 ,1,351,14,8-Feb,25.07,6.62,22.7,0,0
255,JD Unadkat (INDIA),2016-2018,10,10, 34.40 ,0,301,14,Mar-38,21.5,8.68,14.8,0,0
256,KK Ahmed (INDIA),2018-2019,14,14, 52.00 ,1,459,13,27-Feb,35.3,8.82,24,0,0
257,SR Clark (AUS),2006-2007,9,9, 36.00 ,0,237,13,20-Apr,18.23,6.58,16.6,1,0
258,CJ Dala (SA),2018-2019,9,9, 30.00 ,1,282,13,Mar-35,21.69,9.4,13.8,0,0
259,Fitri Sham (MAL),2019-2019,15,14, 42.30 ,0,312,13,26-Mar,24,7.34,19.6,0,0
260,JO Holder (WI),2014-2019,17,17, 62.10 ,0,524,13,23-Feb,40.3,8.42,28.6,0,0
261,JK Kamande (KENYA),2007-2010,12,10, 34.20 ,1,212,13,28-Mar,16.3,6.17,15.8,0,0
262,AR McBrine (IRE),2014-2017,19,13, 29.00 ,0,216,13,7-Feb,16.61,7.44,13.3,0,0
263,A Mansale (VAN),2019-2019,14,10, 26.00 ,0,176,13,13-Mar,13.53,6.76,12,0,0
264,Mohammad Asif (PAK),2006-2010,11,11, 42.50 ,1,343,13,18-Apr,26.38,8,19.7,1,0
265,Mohammad Shahzad (UAE),2015-2017,20,19, 48.10 ,0,411,13,Mar-34,31.61,8.53,22.2,0,0
