ID,Player,Span,Mat,Inns, Overs ,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
1549,SP Fleming (NZ),2005-2006,5,0, -   ,0,0,0,0,0,0,0,0,0
1550,ADS Fletcher (WI),2008-2018,42,0, -   ,0,0,0,0,0,0,0,0,0
1551,BT Foakes (ENG),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1552,CR Foggo (BMUDA),2008-2008,3,0, -   ,0,0,0,0,0,0,0,0,0
1553,JS Foster (ENG),2009-2009,5,0, -   ,0,0,0,0,0,0,0,0,0
1554,O Fournier (CRC),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1555,TS Fray (BMUDA),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1556,JD Freyone (GIBR),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1557,PG Fulton (NZ),2006-2012,12,0, -   ,0,0,0,0,0,0,0,0,0
1558,PF Gallagher (Fin),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1559,G Gambhir (INDIA),2007-2012,37,0, -   ,0,0,0,0,0,0,0,0,0
1560,AR Gandhi (KENYA),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1561,D Ganga (WI),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1562,Garret Banner (Blz),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1563,A Gavde (Caym),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1564,R Gaznavi (SGP),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1565,Gershon Yusuf (NGA),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1566,L Gharasim (ROM),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1567,Ghulam Shabber (UAE),2016-2019,17,0, -   ,0,0,0,0,0,0,0,0,0
1568,HH Gibbs (SA),2005-2010,23,0, -   ,0,0,0,0,0,0,0,0,0
1569,AC Gilchrist (AUS),2005-2008,13,0, -   ,0,0,0,0,0,0,0,0,0
1570,O Goker (TKY),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1571,LF Goncalves (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1572,DM Gondaria (KENYA),2013-2019,11,0, -   ,0,0,0,0,0,0,0,0,0
1573,R Goodwin (PHI),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1574,M Goonetilleke (MALTA),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1575,TG Gordon (CAN),2012-2012,3,0, -   ,0,0,0,0,0,0,0,0,0
1576,S Goud (CZK-R),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1577,ZE Green (NAM),2019-2019,16,0, -   ,0,0,0,0,0,0,0,0,0
1578,R Gunasekera (CAN),2012-2013,8,0, -   ,0,0,0,0,0,0,0,0,0
1579,K Gupta (Chile),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1580,BJ Haddin (AUS),2006-2014,34,0, -   ,0,0,0,0,0,0,0,0,0
1581,OJ Hairs (SCOT),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1582,AD Hales (ENG),2011-2019,60,0, -   ,0,0,0,0,0,0,0,0,0
1583,S Hallett (Peru),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1584,GM Hamilton (SCOT),2007-2010,12,0, -   ,0,0,0,0,0,0,0,0,0
1585,Hammad Azam (PAK),2012-2013,5,0, -   ,0,0,0,0,0,0,0,0,0
1586,Hamza Tariq (CAN),2013-2019,15,0, -   ,0,0,0,0,0,0,0,0,0
1587,PSP Handscomb (AUS),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1588,Haris Sohail (PAK),2013-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1589,Hashmatullah Shahidi (AFG),2013-2013,1,0, -   ,0,0,0,0,0,0,0,0,0
1590,Hassan Rasheed (Mald),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1591,C Hauptfleisch (Caym),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1592,ML Hayden (AUS),2005-2007,9,0, -   ,0,0,0,0,0,0,0,0,0
1593,Hazratullah Zazai (AFG),2016-2019,13,0, -   ,0,0,0,0,0,0,0,0,0
1594,H Helva (TKY),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1595,DL Hemp (BMUDA),2008-2008,2,0, -   ,0,0,0,0,0,0,0,0,0
1596,RR Hendricks (SA),2014-2019,22,0, -   ,0,0,0,0,0,0,0,0,0
1597,SO Hetmyer (WI),2018-2019,20,0, -   ,0,0,0,0,0,0,0,0,0
1598,Hilal Ahmad (CZK-R),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1599,WW Hinds (WI),2006-2010,5,0, -   ,0,0,0,0,0,0,0,0,0
1600,SD Hope (WI),2017-2019,13,0, -   ,0,0,0,0,0,0,0,0,0
1601,GJ Hopkins (NZ),2007-2010,10,0, -   ,0,0,0,0,0,0,0,0,0
1602,JM How (NZ),2007-2008,5,0, -   ,0,0,0,0,0,0,0,0,0
1603,PJ Hughes (AUS),2014-2014,1,0, -   ,0,0,0,0,0,0,0,0,0
1604,DP Hyatt (WI),2011-2012,5,0, -   ,0,0,0,0,0,0,0,0,0
1605,Ibrahim Zadran (AFG),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1606,Imam-ul-Haq (PAK),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1607,Imran Ali Butt (BAH),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1608,Imran Farhat (PAK),2010-2011,7,0, -   ,0,0,0,0,0,0,0,0,0
1609,Imran Haider (ROM),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1610,Imran Ismail (Moz),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1611,Imran Nazir (PAK),2007-2012,25,0, -   ,0,0,0,0,0,0,0,0,0
1612,Imrul Kayes (BDESH),2010-2017,14,0, -   ,0,0,0,0,0,0,0,0,0
1613,CA Ingram (SA),2010-2012,9,0, -   ,0,0,0,0,0,0,0,0,0
1614,PJ Ingram (NZ),2010-2010,3,0, -   ,0,0,0,0,0,0,0,0,0
1615,Inzamam-ul-Haq (PAK),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1616,H Ivanov (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1617,SS Iyer (INDIA),2017-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1618,KM Jadhav (INDIA),2015-2017,9,0, -   ,0,0,0,0,0,0,0,0,0
1619,Jahurul Islam (BDESH),2010-2013,3,0, -   ,0,0,0,0,0,0,0,0,0
1620,S Jamil (Belg),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1621,Javed Ahmadi (AFG),2012-2017,3,0, -   ,0,0,0,0,0,0,0,0,0
1622,CU Jayasinghe (SL),2009-2010,5,0, -   ,0,0,0,0,0,0,0,0,0
1623,JW Jenner (JER),2019-2019,17,0, -   ,0,0,0,0,0,0,0,0,0
1624,JS Jesani (KENYA),2007-2007,1,0, -   ,0,0,0,0,0,0,0,0,0
1625,K Jethi (CAN),2008-2008,5,0, -   ,0,0,0,0,0,0,0,0,0
1626,GO Jones (ENG),2005-2006,2,0, -   ,0,0,0,0,0,0,0,0,0
1627,C Jonker (SA),2018-2018,2,0, -   ,0,0,0,0,0,0,0,0,0
1628,S Jora (NEPAL),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1629,HJ Jordaan (THAI),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1630,GJ Joseph (Blz),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1631,K Joshi (Aut),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1632,EC Joyce (ENG/IRE),2006-2014,18,0, -   ,0,0,0,0,0,0,0,0,0
1633,Junaid Siddique (BDESH),2007-2012,7,0, -   ,0,0,0,0,0,0,0,0,0
1634,S Jyoti (CAN),2008-2008,2,0, -   ,0,0,0,0,0,0,0,0,0
1635,G Kaltongga (VAN),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1636,Kamran Akmal (PAK),2006-2017,58,0, -   ,0,0,0,0,0,0,0,0,0
1637,SHT Kandamby (SL),2008-2011,5,0, -   ,0,0,0,0,0,0,0,0,0
1638,CK Kapugedera (SL),2006-2017,43,0, -   ,0,0,0,0,0,0,0,0,0
1639,IA Karim (KENYA),2013-2019,16,0, -   ,0,0,0,0,0,0,0,0,0
1640,KD Karthik (ICC/INDIA),2006-2019,32,0, -   ,0,0,0,0,0,0,0,0,0
1641,SM Katich (AUS),2005-2006,3,0, -   ,0,0,0,0,0,0,0,0,0
1642,I Katzarski (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1643,HB Kayondo (UGA),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1644,AN Kervezee (NL),2009-2012,10,0, -   ,0,0,0,0,0,0,0,0,0
1645,S Keshvani (CAN),2010-2010,2,0, -   ,0,0,0,0,0,0,0,0,0
1646,RWT Key (ENG),2009-2009,1,0, -   ,0,0,0,0,0,0,0,0,0
1647,SP Khakurel (NEPAL),2014-2015,8,0, -   ,0,0,0,0,0,0,0,0,0
1648,Khalid Latif (PAK),2008-2016,13,0, -   ,0,0,0,0,0,0,0,0,0
1649,UT Khawaja (AUS),2016-2016,9,0, -   ,0,0,0,0,0,0,0,0,0
1650,Khizer Ahmed (NOR),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1651,N Khosla (MALTA),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1652,Khurram Manzoor (PAK),2016-2016,3,0, -   ,0,0,0,0,0,0,0,0,0
1653,Khurram Nawaz (OMAN),2017-2019,18,0, -   ,0,0,0,0,0,0,0,0,0
1654,Khushdil Shah (PAK),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1655,C Kieswetter (ENG),2010-2012,25,0, -   ,0,0,0,0,0,0,0,0,0
1656,TCR Kimber (GUE),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1657,BA King (WI),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1658,NR Kirton (CAN),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1659,H Klaasen (SA),2018-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1660,M Klinger (AUS),2017-2017,3,0, -   ,0,0,0,0,0,0,0,0,0
1661,EB Knowles (CZK-R),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1662,MF Koc (TKY),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1663,JP Kotze (NAM),2019-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1664,HG Kuhn (SA),2009-2017,7,0, -   ,0,0,0,0,0,0,0,0,0
1665,HGJM Kulatunga (SL),2008-2008,2,0, -   ,0,0,0,0,0,0,0,0,0
1666,Kuldeep Singh (PHI),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1667,T Langa (VAN),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1668,TWM Latham (NZ),2012-2017,13,0, -   ,0,0,0,0,0,0,0,0,0
1669,RE Levi (SA),2012-2012,13,0, -   ,0,0,0,0,0,0,0,0,0
1670,E Lewis (WI),2016-2019,29,0, -   ,0,0,0,0,0,0,0,0,0
1671,Liton Das (BDESH),2015-2019,25,0, -   ,0,0,0,0,0,0,0,0,0
1672,LS Livingstone (ENG),2017-2017,2,0, -   ,0,0,0,0,0,0,0,0,0
1673,K Loday (BHU),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1674,L Louwrens (NAM),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1675,MJ Lumb (ENG),2010-2014,27,0, -   ,0,0,0,0,0,0,0,0,0
1676,CA Lynn (AUS),2014-2018,18,0, -   ,0,0,0,0,0,0,0,0,0
1677,NFI McCallum (SCOT),2007-2010,11,0, -   ,0,0,0,0,0,0,0,0,0
1678,BB McCullum (NZ),2005-2015,71,0, -   ,0,0,0,0,0,0,0,0,0
1679,BR McDermott (AUS),2018-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1680,PD McGlashan (NZ),2006-2010,11,0, -   ,0,0,0,0,0,0,0,0,0
1681,ND McKenzie (SA),2006-2009,2,0, -   ,0,0,0,0,0,0,0,0,0
1682,CD McMillan (NZ),2005-2007,8,0, -   ,0,0,0,0,0,0,0,0,0
1683,NJ Maddinson (AUS),2013-2018,6,0, -   ,0,0,0,0,0,0,0,0,0
1684,RP Magar (NEPAL),2014-2015,6,0, -   ,0,0,0,0,0,0,0,0,0
1685,JN Malan (SA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1686,JS Malhotra (USA),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1687,G Malla (NEPAL),2014-2019,24,0, -   ,0,0,0,0,0,0,0,0,0
1688,Mamoon Latif (Belg),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1689,G Manan (ROM),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1690,AK Mandal (NEPAL),2015-2015,2,0, -   ,0,0,0,0,0,0,0,0,0
1691,Mandeep Singh (INDIA),2016-2016,3,0, -   ,0,0,0,0,0,0,0,0,0
1692,A Manousis (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1693,Manpreet Singh (ITA),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1694,Manpreet Singh (SGP),2019-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1695,AK Markram (SA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1696,SE Marsh (AUS),2008-2016,15,0, -   ,0,0,0,0,0,0,0,0,0
1697,HJH Marshall (NZ),2005-2006,3,0, -   ,0,0,0,0,0,0,0,0,0
1698,JAH Marshall (NZ),2005-2008,3,0, -   ,0,0,0,0,0,0,0,0,0
1699,XM Marshall (USA/WI),2008-2019,13,0, -   ,0,0,0,0,0,0,0,0,0
1700,DR Martyn (AUS),2005-2006,4,0, -   ,0,0,0,0,0,0,0,0,0
1701,I Master (Botsw),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1702,V Mbazo (Botsw),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1703,RD McCann (IRE),2012-2012,3,0, -   ,0,0,0,0,0,0,0,0,0
1704,SS McKechnie (HKG),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1705,GP Meade (ITA),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1706,M Meade (Chile),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1707,J Mees (LUX),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1708,AS Mehmi (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1709,BKG Mendis (SL),2016-2019,24,0, -   ,0,0,0,0,0,0,0,0,0
1710,JH Mensah (Ghana),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1711,Mian Mehmood (PORT),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1712,Michael Nazir (MALTA),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1713,DA Miller (SA/World),2010-2019,72,0, -   ,0,0,0,0,0,0,0,0,0
1714,Mirza Ahsan (Aut),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1715,Misbah-ul-Haq (PAK),2007-2012,39,0, -   ,0,0,0,0,0,0,0,0,0
1716,Mohamed Azzam (Mald),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1717,Mohamed Rishwan (Mald),2019-2019,11,0, -   ,0,0,0,0,0,0,0,0,0
1718,Mohammad Amin (KUW),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1719,Mohammad Iqbal (CAN),2008-2008,3,0, -   ,0,0,0,0,0,0,0,0,0
1720,Mohammad Mithun (BDESH),2014-2019,14,0, -   ,0,0,0,0,0,0,0,0,0
1721,Mohammad Naim (BDESH),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1722,Mohammad Qazi (CAN),2008-2008,1,0, -   ,0,0,0,0,0,0,0,0,0
1723,Mohammed Rizlan (QAT),2019-2019,15,0, -   ,0,0,0,0,0,0,0,0,0
1724,Mohammad Rizwan (PAK),2015-2019,16,0, -   ,0,0,0,0,0,0,0,0,0
1725,Mohammad Salman (PAK),2011-2011,1,0, -   ,0,0,0,0,0,0,0,0,0
1726,Mohammad Shahzad (AFG),2010-2018,65,0, -   ,0,0,0,0,0,0,0,0,0
1727,Mohammad Yousuf (PAK),2006-2010,3,0, -   ,0,0,0,0,0,0,0,0,0
1728,Mohammed Nurji (MWI),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1729,AK Mohan (Fin),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1730,GMC Mol (NL),2008-2008,1,0, -   ,0,0,0,0,0,0,0,0,0
1731,D Mongia (INDIA),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1732,PJ Moor (ZIM),2016-2019,21,0, -   ,0,0,0,0,0,0,0,0,0
1733,VV Morea (PNG),2015-2017,5,0, -   ,0,0,0,0,0,0,0,0,0
1734,EJG Morgan (ENG),2009-2019,86,0, -   ,0,0,0,0,0,0,0,0,0
1735,RS Morton (WI),2006-2010,7,0, -   ,0,0,0,0,0,0,0,0,0
1736,M Mosehle (SA),2017-2017,7,0, -   ,0,0,0,0,0,0,0,0,0
1737,K Motlhanka (Botsw),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1738,Muaviath Ganee (Mald),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1739,Mudassar Muhammad (GER),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1740,Muhammad Amir (MAL),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1741,Muhammad Awais (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1742,Muhammad Hamayun (Saudi),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1743,Muhammad Kaleem (UAE),2016-2016,9,0, -   ,0,0,0,0,0,0,0,0,0
1744,Muhammad Khurram (MWI),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1745,Muhammad Usman (UAE),2016-2019,34,0, -   ,0,0,0,0,0,0,0,0,0
1746,Mukhtar Ahmed (PAK),2015-2015,6,0, -   ,0,0,0,0,0,0,0,0,0
1747,Mukhtiar Singh (ESP),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1748,AA Mulla (CAN),2008-2008,4,0, -   ,0,0,0,0,0,0,0,0,0
1749,Munir Dar (HKG),2014-2014,2,0, -   ,0,0,0,0,0,0,0,0,0
1750,C Munoz-Mills (ESP),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1751,HG Munsey (SCOT),2015-2019,38,0, -   ,0,0,0,0,0,0,0,0,0
1752,G Murali (CRC),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1753,D Murphy (SCOT),2013-2013,4,0, -   ,0,0,0,0,0,0,0,0,0
1754,TK Musakanda (ZIM),2018-2018,6,0, -   ,0,0,0,0,0,0,0,0,0
1755,Mushfiqur Rahim (BDESH),2006-2019,84,0, -   ,0,0,0,0,0,0,0,0,0
1756,P Mustard (ENG),2008-2008,2,0, -   ,0,0,0,0,0,0,0,0,0
1757,F Mutizwa (ZIM),2011-2012,3,0, -   ,0,0,0,0,0,0,0,0,0
1758,R Mutumbami (ZIM),2015-2019,22,0, -   ,0,0,0,0,0,0,0,0,0
1759,M Mwamadi (MWI),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1760,SJ Myburgh (NL),2012-2019,33,0, -   ,0,0,0,0,0,0,0,0,0
1761,Nadif Chowdhury (BDESH),2006-2007,3,0, -   ,0,0,0,0,0,0,0,0,0
1762,Najeeb Tarakai (AFG),2014-2019,12,0, -   ,0,0,0,0,0,0,0,0,0
1763,Najibullah Zadran (AFG),2012-2019,57,0, -   ,0,0,0,0,0,0,0,0,0
1764,Naseem Khushi (OMAN),2017-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1765,Nasir Jamshed (PAK),2012-2013,18,0, -   ,0,0,0,0,0,0,0,0,0
1766,Nauman Anwar (PAK),2015-2015,1,0, -   ,0,0,0,0,0,0,0,0,0
1767,Nawazish Jezuli (Saudi),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1768,Nazimuddin (BDESH),2007-2008,7,0, -   ,0,0,0,0,0,0,0,0,0
1769,Najmul Hossain Shanto (BDESH),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1770,Nazmus Sadat (BDESH),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1771,Nazwan Ismail (Mald),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1772,PM Nevill (AUS),2016-2016,9,0, -   ,0,0,0,0,0,0,0,0,0
1773,OE Newey (GUE),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1774,HM Nicholls (NZ),2016-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1775,G Nikitas (),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1776,PA Nixon (ENG),2007-2007,1,0, -   ,0,0,0,0,0,0,0,0,0
1777,ML Nkala (ZIM),2006-2006,1,0, -   ,0,0,0,0,0,0,0,0,0
1778,F Nkhoma (MWI),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1779,Noor Ali Zadran (AFG),2010-2017,20,0, -   ,0,0,0,0,0,0,0,0,0
1780,Noor Momand (Belg),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1781,MJ North (AUS),2009-2009,1,0, -   ,0,0,0,0,0,0,0,0,0
1782,Nurul Hasan (BDESH),2016-2017,9,0, -   ,0,0,0,0,0,0,0,0,0
1783,AA Obanda (KENYA),2007-2019,30,0, -   ,0,0,0,0,0,0,0,0,0
1784,NJ O'Brien (IRE),2008-2016,30,0, -   ,0,0,0,0,0,0,0,0,0
1785,DO Obuya (KENYA),2007-2012,10,0, -   ,0,0,0,0,0,0,0,0,0
1786,NV Ojha (INDIA),2010-2010,2,0, -   ,0,0,0,0,0,0,0,0,0
1787,AA Onikoyi (NGA),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1788,CN Onwuzulike (NGA),2019-2019,9,0, -   ,0,0,0,0,0,0,0,0,0
1789,KO Otieno (KENYA),2008-2008,4,0, -   ,0,0,0,0,0,0,0,0,0
1790,A Otwani (UGA),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1791,MA Ouma (KENYA),2007-2013,22,0, -   ,0,0,0,0,0,0,0,0,0
1792,SD Outerbridge (BMUDA),2008-2008,3,0, -   ,0,0,0,0,0,0,0,0,0
1793,Ovais Yousof (NGA),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1794,VS Padhaal (Fin),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1795,TD Paine (AUS/World),2009-2017,12,0, -   ,0,0,0,0,0,0,0,0,0
1796,K Pala (PNG),2015-2015,2,0, -   ,0,0,0,0,0,0,0,0,0
1797,I Pandey (NEPAL),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1798,MK Pandey (INDIA),2015-2019,32,0, -   ,0,0,0,0,0,0,0,0,0
1799,RR Pant (INDIA),2017-2019,26,0, -   ,0,0,0,0,0,0,0,0,0
1800,AE Paraam (SGP),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1801,BA Parchment (WI),2007-2007,1,0, -   ,0,0,0,0,0,0,0,0,0
1802,M Patel (PNM),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1803,M Patel (Chile),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1804,MD Patel (USA),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1805,PA Patel (INDIA),2011-2011,2,0, -   ,0,0,0,0,0,0,0,0,0
1806,RN Patel (KENYA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1807,SP Patil (UAE),2014-2016,18,0, -   ,0,0,0,0,0,0,0,0,0
1808,RK Paudel (NEPAL),2019-2019,11,0, -   ,0,0,0,0,0,0,0,0,0
1809,BBJL Perera (ITA),2019-2019,8,0, -   ,0,0,0,0,0,0,0,0,0
1810,MDKJ Perera (SL),2013-2019,42,0, -   ,0,0,0,0,0,0,0,0,0
1811,SL Perera (Ghana),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1812,WKD Perkins (WI),2008-2008,1,0, -   ,0,0,0,0,0,0,0,0,0
1813,AN Petersen (SA),2010-2010,2,0, -   ,0,0,0,0,0,0,0,0,0
1814,T Phaswana (Botsw),2019-2019,1,0, -   ,0,0,0,0,0,0,0,0,0
1815,GD Phillips (NZ),2017-2018,11,0, -   ,0,0,0,0,0,0,0,0,0
1816,R Pillai (GER),2019-2019,6,0, -   ,0,0,0,0,0,0,0,0,0
1817,LA Pomersbach (AUS),2007-2007,1,0, -   ,0,0,0,0,0,0,0,0,0
1818,RT Ponting (AUS),2005-2009,17,0, -   ,0,0,0,0,0,0,0,0,0
1819,NS Poonia (SCOT),2007-2010,8,0, -   ,0,0,0,0,0,0,0,0,0
1820,N Pooran (WI),2016-2019,16,0, -   ,0,0,0,0,0,0,0,0,0
1821,WTS Porterfield (IRE),2008-2018,61,0, -   ,0,0,0,0,0,0,0,0,0
1822,VRCF Poubel (),2019-2019,3,0, -   ,0,0,0,0,0,0,0,0,0
1823,A Poulose (OMAN),2017-2017,3,0, -   ,0,0,0,0,0,0,0,0,0
1824,KOA Powell (WI),2014-2014,1,0, -   ,0,0,0,0,0,0,0,0,0
1825,AD Poynter (IRE),2012-2016,19,0, -   ,0,0,0,0,0,0,0,0,0
1826,SW Poynter (IRE),2015-2019,25,0, -   ,0,0,0,0,0,0,0,0,0
1827,H Pragji (Botsw),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1828,AG Prince (SA),2005-2005,1,0, -   ,0,0,0,0,0,0,0,0,0
1829,MJ Prior (ENG),2007-2010,10,0, -   ,0,0,0,0,0,0,0,0,0
1830,SMA Priyanjan (SL),2017-2017,3,0, -   ,0,0,0,0,0,0,0,0,0
1831,Qalandar Khan (QAT),2019-2019,4,0, -   ,0,0,0,0,0,0,0,0,0
1832,S Qeshile (SA),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1833,Raees Ahmadzai (AFG),2010-2010,8,0, -   ,0,0,0,0,0,0,0,0,0
1834,Rafatullah Mohmand (PAK),2015-2015,3,0, -   ,0,0,0,0,0,0,0,0,0
1835,AM Rahane (INDIA),2011-2016,20,0, -   ,0,0,0,0,0,0,0,0,0
1836,Rahmanullah Gurbaz (AFG),2019-2019,7,0, -   ,0,0,0,0,0,0,0,0,0
1837,Rahman Ademi (Serb),2019-2019,2,0, -   ,0,0,0,0,0,0,0,0,0
1838,KL Rahul (INDIA),2016-2019,34,0, -   ,0,0,0,0,0,0,0,0,0
1839,PBB Rajapaksa (SL),2019-2019,5,0, -   ,0,0,0,0,0,0,0,0,0
1840,D Ramdin (WI),2006-2019,71,0, -   ,0,0,0,0,0,0,0,0,0
1841,Rameez Raja (2) (PAK),2011-2011,2,0, -   ,0,0,0,0,0,0,0,0,0
1842,Rameez Shahzad (UAE),2016-2019,22,0, -   ,0,0,0,0,0,0,0,0,0
1843,Aminuddin Ramly (MAL),2019-2019,10,0, -   ,0,0,0,0,0,0,0,0,0
1844,DA Rankin (IRE),2015-2016,2,0, -   ,0,0,0,0,0,0,0,0,0
