ID,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
834,K Gupta (Chile),2019-2019,4,4,1,46,19*,15.33,64,71.87,0,0,1,1,0
835,JW Hastings (AUS),2010-2016,9,6,2,46,15,11.5,37,124.32,0,0,0,3,1
836,Z Hoque (THAI),2019-2019,3,3,0,46,20,15.33,35,131.42,0,0,0,4,2
837,MM Iqbal (SCOT),2012-2013,6,3,0,46,31,15.33,45,102.22,0,0,0,4,1
838,RJ Trott (BMUDA),2008-2019,15,10,4,46,19,7.66,84,54.76,0,0,2,3,0
839,JJ van der Wath (SA),2006-2007,8,4,1,46,21,15.33,39,117.94,0,0,0,3,1
840,Anasim Khan (BAH),2019-2019,4,3,1,45,22,22.5,39,115.38,0,0,0,2,1
841,S Ateak (Ghana),2019-2019,3,3,0,45,26,15,48,93.75,0,0,0,6,1
842,R Bakum (Ghana),2019-2019,4,4,0,45,18,11.25,45,100,0,0,1,4,2
843,Haseeb Amjad (HKG),2014-2016,18,10,6,45,12*,11.25,45,100,0,0,0,3,1
844,MG Hunter (GIBR),2019-2019,4,3,0,45,27,15,61,73.77,0,0,0,2,1
845,NJ Maddinson (AUS),2013-2018,6,4,0,45,34,11.25,35,128.57,0,0,0,6,1
846,Mamoon Latif (Belg),2019-2019,3,3,0,45,24,15,52,86.53,0,0,0,2,2
847,T Munyonga (ZIM),2019-2019,5,3,2,45,44,45,34,132.35,0,0,0,3,1
848,Nazril Rahman (MAL),2019-2019,7,4,1,45,24*,15,45,100,0,0,0,4,0
849,VE Tembo (Moz),2019-2019,6,5,2,45,20*,15,52,86.53,0,0,0,2,0
850,Yasar Haroon (),2019-2019,4,4,0,45,29,11.25,62,72.58,0,0,0,4,1
851,Zohaib Sarwar (PORT),2019-2019,4,4,1,45,33*,15,46,97.82,0,0,2,1,4
852,Abrar Bilal (Aut),2019-2019,3,2,0,44,41,22,24,183.33,0,0,0,6,2
853,AJ Ayannaike (NGA),2019-2019,3,3,0,44,33,14.66,43,102.32,0,0,1,4,2
854,AA Banner (Blz),2019-2019,3,2,0,44,28,22,29,151.72,0,0,0,4,3
855,JM Davison (CAN),2008-2010,5,5,0,44,19,8.8,40,110,0,0,2,2,3
856,L Emilio (Moz),2019-2019,5,4,0,44,23,11,35,125.71,0,0,0,4,1
857,GF Gomes (Moz),2019-2019,7,6,1,44,28,8.8,46,95.65,0,0,1,6,1
858,Ismat Ullah (),2019-2019,4,4,0,44,42,11,47,93.61,0,0,1,4,1
859,Saad Nasim (PAK),2014-2014,3,2,0,44,25,22,53,83.01,0,0,0,0,1
860,S Badree (WI/World),2012-2018,52,16,10,43,14*,7.16,65,66.15,0,0,0,1,1
861,S Badrinath (INDIA),2011-2011,1,1,0,43,43,43,37,116.21,0,0,0,5,0
862,P Baron (Arg),2019-2019,5,3,0,43,27,14.33,38,113.15,0,0,0,0,4
863,NO Miller (WI),2009-2014,9,5,4,43,15*,43,47,91.48,0,0,0,2,0
864,P Mishra (),2019-2019,3,3,1,43,23,21.5,26,165.38,0,0,0,3,4
865,Mustafizur Rahman (BDESH),2015-2019,37,15,5,43,15,4.3,55,78.18,0,0,4,3,3
866,Saad Bin Zafar (CAN),2019-2019,11,4,1,43,20,14.33,33,130.3,0,0,0,3,2
867,M Sohel Patel (PNM),2019-2019,2,2,0,43,40,21.5,39,110.25,0,0,0,2,3
868,Amjad Ali (UAE),2014-2015,5,5,1,42,20,10.5,52,80.76,0,0,0,6,0
869,F Baaleri (Ghana),2019-2019,4,4,0,42,17,10.5,60,70,0,0,0,6,0
870,NG Jones (IRE),2010-2012,5,4,2,42,14*,21,38,110.52,0,0,1,1,2
871,Mohamed Mahfooz (Mald),2019-2019,11,5,0,42,16,8.4,53,79.24,0,0,0,3,0
872,Muaviath Ganee (Mald),2019-2019,5,4,0,42,19,10.5,44,95.45,0,0,0,3,1
873,LE Plunkett (ENG),2006-2019,22,11,4,42,18,6,34,123.52,0,0,3,3,1
874,AT Rayudu (INDIA),2014-2016,6,5,1,42,20,10.5,50,84,0,0,2,5,0
875,M Sert (TKY),2019-2019,4,4,1,42,16,14,59,71.18,0,0,0,5,0
876,DC Stovell (BMUDA),2019-2019,6,6,1,42,18*,8.4,50,84,0,0,1,5,0
877,JK Vifah (Ghana),2019-2019,3,3,0,42,23,14,45,93.33,0,0,0,2,1
878,KJ Young (Blz),2019-2019,3,3,2,42,27*,42,34,123.52,0,0,0,3,1
879,Abdul-Shakoor Rahimzei (GER),2019-2019,7,5,1,41,17,10.25,33,124.24,0,0,0,2,1
880,Abdur Razzak (BDESH),2006-2014,34,20,10,41,9,4.1,74,55.4,0,0,5,1,0
881,Ainool Hafizs (MAL),2019-2019,3,3,0,41,21,13.66,39,105.12,0,0,0,3,1
882,A Ashokan (CZK-R),2019-2019,2,2,0,41,34,20.5,29,141.37,0,0,0,2,3
883,K Jethi (CAN),2008-2008,5,5,1,41,24,10.25,59,69.49,0,0,1,0,2
884,K Joshi (Aut),2019-2019,4,3,1,41,32*,20.5,41,100,0,0,0,4,2
885,B Mavuta (ZIM),2018-2018,3,3,2,41,28,41,23,178.26,0,0,0,3,2
886,D Muhumuza (UGA),2019-2019,4,4,0,41,28,10.25,36,113.88,0,0,1,3,1
887,Murid Ekrami (Belg),2019-2019,3,2,0,41,28,20.5,48,85.41,0,0,0,2,0
888,K Pala (PNG),2015-2015,2,2,1,41,22*,41,30,136.66,0,0,0,4,2
889,Amir Hamza (AFG),2013-2017,31,9,5,40,21,10,38,105.26,0,0,1,3,1
890,TS Chisoro (ZIM),2015-2018,12,6,2,40,14*,10,42,95.23,0,0,0,2,2
891,BCJ Cutting (AUS/World),2013-2017,7,5,1,40,29,10,27,148.14,0,0,1,2,3
892,Fitri Sham (MAL),2019-2019,15,10,4,40,15*,6.66,56,71.42,0,0,0,2,0
893,Imran Bulbulia (PNM),2019-2019,3,3,0,40,32,13.33,42,95.23,0,0,1,4,1
894,LA Musiani (Arg),2019-2019,5,5,1,40,22,10,60,66.66,0,0,1,4,0
895,E Packard (GIBR),2019-2019,4,4,0,40,26,10,49,81.63,0,0,0,2,1
896,S Ravikumar (CRC),2019-2019,3,3,1,40,29*,20,44,90.9,0,0,1,3,1
897,Sahibzada Farhan (PAK),2018-2018,3,3,0,40,39,13.33,46,86.95,0,0,1,2,3
898,F Stoman (PORT),2019-2019,4,4,1,40,21*,13.33,61,65.57,0,0,0,1,1
899,Talha Khan (GER),2019-2019,1,1,1,40,40*,-,41,97.56,0,0,0,4,0
900,Tariq Aziz (PORT),2019-2019,4,4,1,40,23,13.33,47,85.1,0,0,1,1,2
901,KDK Vithanage (SL),2014-2016,3,3,0,40,38,13.33,34,117.64,0,0,0,7,0
902,RR David (CAN),2008-2008,4,4,0,39,17,9.75,65,60,0,0,0,2,1
903,Imran Khan (PORT),2019-2019,4,3,1,39,36,19.5,32,121.87,0,0,0,2,3
904,Munir Dar (HKG),2014-2014,2,2,0,39,36,19.5,33,118.18,0,0,0,3,1
905,Rafatullah Mohmand (PAK),2015-2015,3,3,0,39,23,13,45,86.66,0,0,1,4,0
906,P Silas (Botsw),2019-2019,4,3,0,39,20,13,44,88.63,0,0,0,1,1
907,S Tobgay (BHU),2019-2019,2,2,0,39,24,19.5,58,67.24,0,0,0,1,0
908,PA van Meekeren (NL),2013-2019,41,9,1,39,18,4.87,40,97.5,0,0,3,0,3
909,RI Ahmed (NL),2015-2015,2,2,0,38,25,19,50,76,0,0,0,2,0
910,Ameer Saiyed (Botsw),2019-2019,4,3,0,38,22,12.66,47,80.85,0,0,0,4,0
911,R Flannigan (SCOT),2012-2012,4,4,1,38,18,12.66,33,115.15,0,0,1,4,0
912,D Kansonkho (MWI),2019-2019,7,4,0,38,21,9.5,47,80.85,0,0,2,5,0
913,AK Kitchen (NZ),2017-2018,5,4,1,38,16,12.66,32,118.75,0,0,0,3,1
914,BF Mailata (Samoa),2019-2019,4,4,0,38,17,9.5,48,79.16,0,0,0,2,1
915,Mohammad Amin (KUW),2019-2019,4,4,2,38,15*,19,39,97.43,0,0,0,5,0
916,D Mongia (INDIA),2006-2006,1,1,0,38,38,38,45,84.44,0,0,0,4,1
917,F Mutizwa (ZIM),2011-2012,3,3,0,38,22,12.66,36,105.55,0,0,1,3,0
918,H Pragji (Botsw),2019-2019,4,4,1,38,30*,12.66,65,58.46,0,0,0,1,0
919,BJ Watling (NZ),2009-2014,5,4,0,38,22,9.5,58,65.51,0,0,0,3,0
920,SJ Benn (WI),2008-2016,24,7,4,37,13*,12.33,42,88.09,0,0,1,5,1
921,VD Chandra (PNM),2019-2019,3,2,0,37,26,18.5,30,123.33,0,0,0,3,3
922,I Danladi (NGA),2019-2019,3,2,0,37,37,18.5,38,97.36,0,0,1,4,1
923,CJ Delany (GIBR),2019-2019,4,4,0,37,21,9.25,60,61.66,0,0,1,2,0
924,JS Foster (ENG),2009-2009,5,5,2,37,14*,12.33,32,115.62,0,0,0,0,1
925,RM Hira (NZ),2012-2013,15,3,1,37,20*,18.5,33,112.12,0,0,0,4,1
926,J Hirschi (MALTA),2019-2019,4,4,0,37,13,9.25,62,59.67,0,0,0,0,0
927,AF Ifill (Caym),2019-2019,6,6,1,37,9,7.4,61,60.65,0,0,0,2,1
928,R Kumar (ROM),2019-2019,4,3,1,37,32,18.5,27,137.03,0,0,0,6,0
929,D Manani (ROM),2019-2019,2,2,1,37,19*,37,32,115.62,0,0,0,4,1
930,S Sola (Samoa),2019-2019,4,3,0,37,18,12.33,36,102.77,0,0,0,1,3
931,CA Soper (PNG),2015-2019,13,6,4,37,19,18.5,41,90.24,0,0,0,0,3
932,BM Wheeler (NZ),2017-2018,6,4,2,37,30,18.5,28,132.14,0,0,0,3,2
933,RJ Campbell (HKG),2016-2016,3,3,0,36,27,12,47,76.59,0,0,1,6,0
934,TK Curran (ENG),2017-2019,15,6,4,36,14*,18,27,133.33,0,0,0,0,3
935,J Dunn (VAN),2019-2019,4,3,0,36,23,12,41,87.8,0,0,0,0,1
936,J Jojo (DEN),2019-2019,7,5,3,36,13,18,27,133.33,0,0,0,1,1
937,TE Kane (IRE),2015-2019,7,3,1,36,26*,18,23,156.52,0,0,0,5,0
938,Mohammed Qasim (UAE),2016-2017,3,3,1,36,13*,18,51,70.58,0,0,0,2,0
939,Mohsin Hub (Peru),2019-2019,4,4,1,36,16*,12,41,87.8,0,0,1,2,0
940,PA Patel (INDIA),2011-2011,2,2,0,36,26,18,32,112.5,0,0,0,4,1
941,Abdul Shakoor (UAE),2015-2019,6,4,2,35,20*,17.5,40,87.5,0,0,0,3,0
942,MP Biddappa (PHI),2019-2019,4,2,1,35,22*,35,47,74.46,0,0,0,1,1
943,STR Binny (INDIA),2015-2016,3,2,0,35,24,17.5,29,120.68,0,0,0,2,1
944,PJ Cummins (AUS),2011-2019,25,11,4,35,13,5,37,94.59,0,0,2,2,1
945,SM Curran (ENG),2019-2019,5,3,0,35,24,11.66,23,152.17,0,0,0,3,2
946,CD de Lange (SCOT),2015-2017,8,3,0,35,22,11.66,22,159.09,0,0,0,2,2
947,L Hermida (Mex),2019-2019,5,5,2,35,12,11.66,52,67.3,0,0,0,1,0
948,JN Malan (SA),2019-2019,2,2,0,35,33,17.5,37,94.59,0,0,0,3,2
949,VV Morea (PNG),2015-2017,5,5,0,35,19,7,44,79.54,0,0,1,4,0
950,D Murphy (SCOT),2013-2013,4,4,3,35,20,35,35,100,0,0,0,1,0
951,Nazakat Ali (NOR),2019-2019,2,2,0,35,25,17.5,31,112.9,0,0,0,1,3
952,Shuvagata Hom (BDESH),2016-2016,5,4,2,35,16*,17.5,35,100,0,0,0,3,1
953,Sultan Ahmed (UAE),2017-2019,17,9,3,35,11,5.83,37,94.59,0,0,3,0,2
954,DK Anefie (Ghana),2019-2019,4,4,2,34,18*,17,38,89.47,0,0,1,2,0
955,Arafat Sunny (BDESH),2014-2016,10,6,3,34,10,11.33,30,113.33,0,0,0,3,1
956,Hammad Azam (PAK),2012-2013,5,4,1,34,21,11.33,34,100,0,0,0,3,1
957,Nadeem Ahmed (HKG),2014-2017,24,9,4,34,10,6.8,55,61.81,0,0,1,2,0
958,JD Nel (SCOT),2007-2010,10,5,2,34,13*,11.33,25,136,0,0,1,3,1
959,OL Pitcher (BMUDA),2008-2008,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0
960,S Rakshit (CZK-R),2019-2019,7,5,1,34,15,8.5,44,77.27,0,0,1,5,0
961,Saqib Zulfiqar (NL),2018-2019,6,4,0,34,18,8.5,43,79.06,0,0,0,1,0
962,JTS Sumerauer (JER),2019-2019,8,6,1,34,13,6.8,39,87.17,0,0,0,3,0
963,W Viraliliu (VAN),2019-2019,10,7,3,34,13*,8.5,26,130.76,0,0,0,3,2
964,PSP Handscomb (AUS),2019-2019,2,2,1,33,20*,33,33,100,0,0,0,1,0
965,GO Jones (ENG),2005-2006,2,2,1,33,19,33,25,132,0,0,0,5,0
966,FJ Klaassen (NL),2018-2019,21,7,1,33,13,5.5,34,97.05,0,0,1,2,0
967,MF Maharoof (SL),2006-2016,8,5,1,33,13*,8.25,43,76.74,0,0,1,0,1
968,CB Mpofu (ZIM),2008-2019,30,10,6,33,17*,8.25,40,82.5,0,0,3,3,1
969,K Nestor (GIBR),2019-2019,4,4,1,33,16,11,35,94.28,0,0,0,1,2
970,I Pandey (NEPAL),2019-2019,4,4,0,33,22,8.25,50,66,0,0,0,5,0
971,RJMGM Rupasinghe (SL),2009-2009,2,2,0,33,18,16.5,39,84.61,0,0,0,2,0
972,Simandeep Singh (HKG),2019-2019,7,7,2,33,14*,6.6,32,103.12,0,0,0,2,0
973,WPUJC Vaas (SL),2006-2007,6,2,1,33,21,33,41,80.48,0,0,0,1,0
974,AA Westphal (Mex),2019-2019,5,5,0,33,24,6.6,40,82.5,0,0,0,3,0
975,Abdul Wahid (Saudi),2019-2019,5,3,1,32,17*,16,26,123.07,0,0,0,4,1
976,KS Bagabena (Ghana),2019-2019,4,3,2,32,23*,32,32,100,0,0,1,1,0
977,WD Balaji Rao (CAN),2008-2008,4,4,1,32,22*,10.66,30,106.66,0,0,1,1,2
978,SE Findlay (WI),2008-2008,2,2,0,32,19,16,31,103.22,0,0,0,4,0
979,TG Gordon (CAN),2012-2012,3,3,0,32,23,10.66,37,86.48,0,0,0,3,0
980,LHB Harrington-Myers (Caym),2019-2019,4,4,1,32,17*,10.66,39,82.05,0,0,1,1,1
981,Khizer Ahmed (NOR),2019-2019,5,4,2,32,18,16,47,68.08,0,0,0,1,0
982,GA Lamb (ZIM),2010-2010,5,4,2,32,14*,16,54,59.25,0,0,1,1,0
983,GH O'Brien (BMUDA),2008-2019,11,6,2,32,7*,8,38,84.21,0,0,1,1,2
984,SNJ O'Keefe (AUS),2010-2011,7,5,0,32,22,6.4,26,123.07,0,0,0,4,1
985,Shiraz Khan (KUW),2019-2019,6,5,1,32,16*,8,27,118.51,0,0,1,2,1
986,KRP Silva (USA),2019-2019,2,2,0,32,25,16,12,266.66,0,0,0,2,3
987,J Theron (SA),2010-2012,9,3,3,32,31*,-,21,152.38,0,0,0,3,1
988,JC Tredwell (ENG),2012-2014,17,6,3,32,22,10.66,20,160,0,0,1,4,1
989,TR Birt (AUS),2010-2012,4,3,0,31,17,10.33,33,93.93,0,0,0,3,1
990,PVD Chameera (SL),2015-2018,19,10,6,31,12,7.75,40,77.5,0,0,2,3,0
991,P Chandran (Mex),2019-2019,3,3,0,31,23,10.33,47,65.95,0,0,1,2,1
992,R Dravid (INDIA),2011-2011,1,1,0,31,31,31,21,147.61,0,0,0,0,3
993,V Ganesan (GER),2019-2019,4,4,0,31,15,7.75,42,73.8,0,0,0,0,0
994,Jahurul Islam (BDESH),2010-2013,3,3,0,31,18,10.33,23,134.78,0,0,0,3,1
995,Jasdeep Singh (USA),2019-2019,4,2,0,31,31,15.5,25,124,0,0,1,0,3
996,AS Mehmi (),2019-2019,3,2,1,31,21*,31,29,106.89,0,0,0,2,1
997,RG Mukasa (UGA),2019-2019,4,4,0,31,14,7.75,40,77.5,0,0,0,1,0
998,PA Nixon (ENG),2007-2007,1,1,1,31,31*,-,22,140.9,0,0,0,2,1
999,H Osinde (CAN),2008-2013,11,6,2,31,17,7.75,34,91.17,0,0,0,1,2
1000,VS Padhaal (Fin),2019-2019,5,5,0,31,14,6.2,44,70.45,0,0,0,4,0
1001,D Sheeli (KUW),2019-2019,3,3,0,31,19,10.33,32,96.87,0,0,0,3,0
1002,ACF Stokes (GUE),2019-2019,7,5,0,31,16,6.2,26,119.23,0,0,3,6,0
1003,Tafseer Ali (NOR),2019-2019,5,4,1,31,19,10.33,53,58.49,0,0,0,1,0
1004,Zubaidi Zulkifle (MAL),2019-2019,4,4,0,31,22,7.75,29,106.89,0,0,1,2,2
1005,D Cato (Caym),2019-2019,3,3,0,30,20,10,59,50.84,0,0,0,2,0
1006,WW Hinds (WI),2006-2010,5,5,1,30,14,7.5,41,73.17,0,0,1,3,0
1007,LC Le Tissier (GUE),2019-2019,9,7,2,30,9,6,29,103.44,0,0,0,2,0
1008,Mian Mehmood (PORT),2019-2019,4,4,0,29,13,7.25,41,70.73,0,0,1,1,1
1009,SH Obed (VAN),2019-2019,12,7,2,29,9,5.8,41,70.73,0,0,0,1,0
1010,S Rossi (Arg),2019-2019,5,4,1,29,13,9.66,27,107.4,0,0,0,2,1
1011,J Salazar (Peru),2019-2019,2,2,1,29,20*,29,36,80.55,0,0,0,0,0
1012,Taskin Ahmed (BDESH),2014-2018,19,6,3,29,15*,9.66,31,93.54,0,0,1,3,1
1013,DT Tiripano (ZIM),2016-2019,10,6,2,29,14,7.25,34,85.29,0,0,2,0,2
1014,C Zavoiu (ROM),2019-2019,3,2,0,29,27,14.5,39,74.35,0,0,0,3,0
1015,Ahsan Malik (NL),2012-2017,31,8,5,28,11*,9.33,30,93.33,0,0,1,1,1
1016,KK Ahuja (Mex),2019-2019,8,7,0,28,8,4,50,56,0,0,1,1,1
1017,Amjad Khan (UAE),2015-2016,4,3,0,28,24,9.33,30,93.33,0,0,0,3,1
1018,EJB Miles (JER),2019-2019,14,4,2,28,16,14,31,90.32,0,0,0,1,0
1019,A Nehra (INDIA),2009-2017,27,5,0,28,22,5.6,39,71.79,0,0,3,1,2
1020,PJ Ongondo (KENYA),2007-2008,8,6,0,28,16,4.66,23,121.73,0,0,2,1,2
1021,CW Perchard (JER),2019-2019,15,5,2,28,12,9.33,35,80,0,0,0,0,0
1022,R Pillai (GER),2019-2019,6,5,1,28,14,7,44,63.63,0,0,1,1,0
1023,Sharafuddin Ashraf (AFG),2015-2019,8,4,1,28,18,9.33,29,96.55,0,0,0,1,1
1024,Ahmed Wardak (GER),2019-2019,9,4,2,27,20*,13.5,38,71.05,0,0,0,1,0
1025,TP Allen (USA),2019-2019,5,3,1,27,11*,13.5,17,158.82,0,0,0,0,3
1026,G Bakiweyem (Ghana),2019-2019,3,2,1,27,15*,27,30,90,0,0,0,0,0
1027,TC Barker (LUX),2019-2019,4,4,0,27,18,6.75,33,81.81,0,0,0,1,0
1028,NE Bonner (WI),2011-2012,2,2,0,27,24,13.5,38,71.05,0,0,0,2,0
1029,DT Christian (AUS),2010-2017,16,7,3,27,9,6.75,28,96.42,0,0,1,2,0
1030,RM Dorji (BHU),2019-2019,1,1,0,27,27,27,23,117.39,0,0,0,0,4
1031,H Fennell (Arg),2019-2019,5,5,2,27,25*,9,23,117.39,0,0,3,4,1
1032,S Hongsi (THAI),2019-2019,3,3,3,27,11*,-,16,168.75,0,0,0,3,1
1033,Mohammad Iqbal (CAN),2008-2008,3,3,0,27,22,9,39,69.23,0,0,0,1,0
1034,Nadif Chowdhury (BDESH),2006-2007,3,3,0,27,12,9,23,117.39,0,0,0,2,0
1035,SS Pathirana (SL),2016-2017,5,5,0,27,14,5.4,24,112.5,0,0,0,3,0
1036,Shapoor Zadran (AFG),2010-2018,34,13,6,27,13,3.85,65,41.53,0,0,3,0,3
1037,Shoaib Qureshi (Fin),2019-2019,5,4,0,27,12,6.75,34,79.41,0,0,1,2,0
1038,MP Vaughan (ENG),2005-2007,2,2,0,27,27,13.5,22,122.72,0,0,1,4,0
1039,Waqas Ali (Belg),2019-2019,2,2,0,27,14,13.5,31,87.09,0,0,0,0,2
1040,Zulfiqar Babar (PAK),2013-2014,7,3,3,27,13*,-,27,100,0,0,0,2,1
1041,Arsalan Arif (Aut),2019-2019,2,1,1,26,26*,-,11,236.36,0,0,0,5,0
1042,TB de Bruyn (SA),2017-2017,2,2,0,26,19,13,16,162.5,0,0,0,3,1
1043,D Ganga (WI),2006-2006,1,1,0,26,26,26,31,83.87,0,0,0,3,1
1044,R Goodwin (PHI),2019-2019,4,4,1,26,16*,8.66,36,72.22,0,0,1,1,0
1045,Izatullah Dawlatzai (AFG/GER),2012-2019,14,3,2,26,24*,26,16,162.5,0,0,0,2,2
1046,G Kansonkho (MWI),2019-2019,6,3,1,26,22,13,21,123.8,0,0,1,4,0
1047,TJ Murtagh (IRE),2012-2016,14,5,3,26,12*,13,25,104,0,0,0,0,1
1048,LN Oluoch (KENYA),2013-2019,10,6,3,26,7*,8.66,33,78.78,0,0,0,2,0
1049,E Otieno (KENYA),2012-2019,18,8,3,26,8,5.2,48,54.16,0,0,1,0,1
1050,TK Saha (Fin),2019-2019,4,4,3,26,18*,26,23,113.04,0,0,0,1,0
1051,Washington Sundar (INDIA),2017-2019,18,5,3,26,14*,13,12,216.66,0,0,1,1,3
1052,C Wright (Caym),2019-2019,6,5,2,26,16*,8.66,31,83.87,0,0,1,2,0
1053,P Agnihotri (NOR),2019-2019,2,2,0,25,19,12.5,36,69.44,0,0,0,2,0
1054,Asrar Ahmed (),2019-2019,3,1,0,25,25,25,27,92.59,0,0,0,2,0
1055,RA Bhatti (CAN),2012-2012,4,4,1,25,11*,8.33,37,67.56,0,0,1,1,0
1056,AM Ellis (NZ),2012-2013,5,5,2,25,16,8.33,21,119.04,0,0,0,1,1
1057,CRD Fernando (SL),2006-2016,18,7,2,25,21,5,27,92.59,0,0,2,4,0
1058,G Goudie (SCOT),2010-2013,9,6,2,25,9*,6.25,20,125,0,0,0,2,1
1059,T Jamtsho (BHU),2019-2019,2,2,1,25,19,25,27,92.59,0,0,0,1,1
1060,JH Kiani (PHI),2019-2019,4,3,1,25,13,12.5,36,69.44,0,0,0,2,0
1061,RK Kleinveldt (SA),2008-2013,6,3,2,25,22,25,10,250,0,0,0,1,3
1062,WP Masakadza (ZIM),2015-2019,12,6,3,25,6*,8.33,30,83.33,0,0,0,2,0
1063,G Murali (CRC),2019-2019,3,3,0,25,14,8.33,44,56.81,0,0,0,1,0
1064,PM Nevill (AUS),2016-2016,9,5,4,25,10*,25,11,227.27,0,0,0,1,2
1065,SA Okpe (NGA),2019-2019,8,6,1,25,12,5,46,54.34,0,0,0,1,0
1066,C Pengkumta (THAI),2019-2019,4,3,2,25,18,25,31,80.64,0,0,0,2,0
1067,Raza-ur-Rehman (CAN),2012-2013,5,4,0,25,10,6.25,29,86.2,0,0,0,3,0
1068,Shahbaz Badar (BAH),2019-2019,3,3,0,25,16,8.33,32,78.12,0,0,1,3,0
1069,Shahriar Nafees (BDESH),2006-2006,1,1,0,25,25,25,17,147.05,0,0,0,3,1
1070,Sidhant Singh (SGP),2019-2019,8,6,2,25,12,6.25,26,96.15,0,0,1,1,1
1071,A Srivastav (Chile),2019-2019,4,4,0,25,21,6.25,37,67.56,0,0,2,2,0
1072,Tahir Dar (BAH),2019-2019,4,2,0,25,15,12.5,25,100,0,0,0,1,2
1073,Vinod Kumar (ESP),2019-2019,3,3,1,25,17,12.5,30,83.33,0,0,0,3,0
1074,Adil Hanif (BAH),2019-2019,4,2,0,24,16,12,23,104.34,0,0,0,3,0
1075,Azyan Farhath (Mald),2019-2019,2,2,1,24,22*,24,22,109.09,0,0,0,2,0
1076,MO Bacarese (GIBR),2019-2019,3,2,0,24,13,12,37,64.86,0,0,0,0,1
1077,OO Bascome (BMUDA),2008-2019,3,3,0,24,16,8,29,82.75,0,0,0,3,0
1078,Bilal Tahir (KUW),2019-2019,4,4,0,24,13,6,21,114.28,0,0,1,1,1
1079,JW Dernbach (ENG),2011-2014,34,7,2,24,12,4.8,21,114.28,0,0,1,3,0
1080,Fareed Ahmad (AFG),2016-2019,14,1,1,24,24*,-,15,160,0,0,0,4,0
1081,JN Gillespie (AUS),2005-2005,1,1,0,24,24,24,18,133.33,0,0,0,4,0
1082,B Ivanov (),2019-2019,3,3,1,24,14,12,55,43.63,0,0,0,1,0
1083,Jagjit Singh (Peru),2019-2019,4,4,0,24,12,6,30,80,0,0,0,1,0
1084,MJ McClenaghan (ICC/NZ),2012-2018,29,8,4,24,10,6,23,104.34,0,0,2,1,2
1085,Rameez Raja (2) (PAK),2011-2011,2,2,0,24,23,12,29,82.75,0,0,0,2,0
1086,B Regmi (NEPAL),2014-2019,18,11,4,24,11,3.42,56,42.85,0,0,1,2,0
1087,CP Schofield (ENG),2007-2007,4,4,3,24,9*,24,20,120,0,0,0,2,0
1088,KJ Abbott (SA),2013-2016,21,6,4,23,9*,11.5,20,115,0,0,0,2,0
1089,AB Barath (WI),2010-2011,2,2,0,23,15,11.5,39,58.97,0,0,0,3,0
1090,Bilawal Bhatti (PAK),2013-2015,9,4,2,23,13*,11.5,14,164.28,0,0,1,2,1
1091,DL Brangman (BMUDA),2019-2019,5,4,2,23,23*,11.5,25,92,0,0,2,2,1
1092,C Floyd (NL),2019-2019,2,2,1,23,21,23,23,100,0,0,0,2,1
1093,Habib Ahmadzai (Aut),2019-2019,5,3,2,23,15*,23,29,79.31,0,0,0,2,1
1094,Hardev Singh (Chile),2019-2019,3,3,0,23,17,7.66,48,47.91,0,0,0,1,0
1095,Imran Anwar (BAH),2019-2019,4,2,1,23,16*,23,22,104.54,0,0,0,2,0
1096,RK Inampud (Mex),2019-2019,3,3,2,23,17*,23,28,82.14,0,0,0,0,1
1097,B Kumar (INDIA),2012-2019,43,9,5,23,9,5.75,29,79.31,0,0,1,0,0
1098,S Lamichhane (ICC/NEPAL),2018-2019,18,8,4,23,9,5.75,29,79.31,0,0,1,1,0
1099,N Master (Botsw),2019-2019,2,2,0,23,21,11.5,18,127.77,0,0,0,4,0
1100,T Panyangara (ZIM),2013-2016,14,5,4,23,17*,23,17,135.29,0,0,0,1,2
1101,VM Sachdev (PNM),2019-2019,2,2,1,23,12*,23,31,74.19,0,0,0,2,0
1102,Shafiul Islam (BDESH),2010-2019,17,6,1,23,16,4.6,33,69.69,0,0,1,1,1
1103,S Sohal (USA),2019-2019,3,2,0,23,18,11.5,29,79.31,0,0,0,1,1
1104,A Zampa (AUS),2016-2019,27,6,4,23,9,11.5,26,88.46,0,0,0,2,0
1105,Zulqarnain Haider (PAK),2007-2010,3,3,0,23,17,7.66,30,76.66,0,0,0,1,0
1106,Abdur Rehman (PAK),2007-2013,8,5,3,22,7*,11,29,75.86,0,0,0,0,0
1107,DNA Ankrah (Ghana),2019-2019,4,3,0,22,12,7.33,43,51.16,0,0,0,2,0
1108,SE Aquilina (MALTA),2019-2019,4,4,0,22,14,5.5,30,73.33,0,0,0,2,0
1109,Z Arinaitwe (UGA),2019-2019,3,3,0,22,15,7.33,26,84.61,0,0,0,3,1
1110,TA Boult (NZ),2013-2019,27,8,3,22,8,4.4,32,68.75,0,0,1,1,0
1111,PC de Silva (SL),2017-2017,2,2,0,22,21,11,22,100,0,0,0,1,0
1112,AB Dinda (INDIA),2009-2012,9,2,1,22,19,22,24,91.66,0,0,0,1,0
1113,PJ Ingram (NZ),2010-2010,3,3,1,22,20*,11,35,62.85,0,0,1,3,0
1114,M Morkel (SA/World),2007-2017,44,8,5,22,8*,7.33,18,122.22,0,0,0,3,1
